19.1.1	doṣo gāya bṛhad gāya dyumad gāyātharvaṇa | stuhi devaṃ savitāram ||
19.13.14	śivaḥ kapota iṣito no astv anāgā devāḥ śakuno gṛhe naḥ | agnir hi vipro juṣatāṃ havir naḥ pari hetiḥ pakṣiṇī no vṛṇaktu ||
19.13.15	hetiḥ pakṣiṇī na dabhāty asmān āṣṭrī padaṃ kṛṇute agnidhāne | śaṃ no gobhya uta puruṣebhyo mā no devā iha hiṃsīt kapotaḥ ||
19.13.16	iṣaṃ madantaḥ pari gāṃ nayāmaḥ saṃyopayanto duritā padāni | ṛcā kapotaṃ nudata praṇodaṃ hitvā na ūrjaṃ pra patāt patiṣṭhaḥ ||
19.13.17	nude tvā pra ṇude tvā kapota rakṣasā saha | yato na punar āyasi tatra tvā gamayāmasi ||
19.14.1	yathāyaṃ vāho aśvinā samaiti saṃ ca vartate | evā mām abhi te manaḥ samaitu saṃ ca vartatām ||
19.14.2	ahaṃ khidāmi te mano rājāśvaḥ pṛṣṭyām iva | reṣmacchinnaṃ yathā tṛṇaṃ mayi te veṣṭatāṃ manaḥ ||
19.14.3	āñjanasya madhughasya kuṣṭhasya naladasya ca | turo bhagasya hastābhyām anurodhanam ā bhare ||
19.14.4	ayam ā yāty aryamā purastād viṣitastukaḥ | sa icchād agruvai patim atho jāyām ajānaye ||
19.14.5	aśramad iyam aryamann anyāsāṃ samanaṃ yatī | aṅgo nv asyā aryamann anyā samanam āyati ||
19.14.6	dhātā dādhāra pṛthivīṃ dhātā dyām uta sūryam | dhātāsyā agruvai patiṃ dadhātu pratikāmyam ||
19.14.7	mahyam āpo madhumad erayanta mahyaṃ sūryo abharaj jyotiṣā kam | mahyaṃ devā uta viśve tapojā mahyaṃ devaḥ savitā vyaco dhāt ||
19.14.8	ahaṃ dādhāra pṛthivīm uta dyām ahaṃ sindhūn ajanaṃ sapta sākam | ahaṃ satyam anṛtaṃ yad vadāmy ahaṃ vācaṃ pari sarvām iṣiṃ ca ||
19.14.9	ahaṃ vivyajmi pṛthivīm uta dyām aham ṛtūn asṛje sapta sākam | ahaṃ vācaṃ pari sarvāṃ babhūva yo agnīṣomāv ajuṣe sakhāyau ||
19.14.10	anaḍudbhyo naḥ prathamaṃ dhenubhyas tvam arundhati | adhenave vayase śarma yaccha catuṣpade ||
19.14.11	śarma yacchāty oṣadhiḥ saha devair arundhatī | karat payasvantaṃ goṣṭham ayakṣmām̐ uta pūruṣān ||
19.14.12	viśvarūpāṃ subhagām acchā vadāmi jīvalām | sā no rudrasyāstāṃ hetiṃ dūraṃ nayatu gobhyaḥ ||
19.14.13	yamo mṛtyur aghamāro nirṛtho bhavaḥ śarvo astā nīlaśikhaṇḍī | devajanāḥ senām uttasthivāṃsas te asmākaṃ pari vṛñjantu vīrān ||
19.14.14	manasā homair harasā ghṛtena śarvāyāstra uta rājñe bhavāya | namasyebhyo nama ebhyaḥ kṛṇomy anyatrāsmad aghaviṣā nayantu ||
19.14.15	trāyadhvaṃ no aghaviṣābhyo vadhād agnīṣomā marutaḥ pūtadakṣāḥ | viśve devā maruto vaiśvadevā vātāparjanyayoḥ sumatau syāma ||
19.15.1	saṃ jānatāṃ manasā saṃ cikitvā mā yutsata manyunā daivyena | mā ghoṣa utthād bahule vinirhate meṣuḥ paptad indrasyāhany āgate ||
19.15.2	saṃ vo manāṃsi saṃ vratā sam ākūtīr nayāmasi | ime ye vivratā stha tān vaḥ saṃ jñapayāmasi ||
19.15.3	saṃjñapanaṃ vo manaso atho saṃ jñapanaṃ hṛdaḥ | atho bhagasya yac chrāntaṃ tena saṃ jñapayāti vaḥ ||
19.15.4	saṃ vaḥ pṛcyantāṃ tanvaḥ saṃ manāṃsi sam u tvacaḥ | saṃ vo brahmaṇaspatiḥ somaḥ saṃ jñapayāti vaḥ ||
19.15.5	saṃjñānaṃ naḥ svebhyaḥ saṃjñānam araṇebhyaḥ | saṃjñānam aśvinā yuvam ihāsmāsu ni yacchatam ||
19.15.6	yathādityā vasavaḥ saṃbabhūvur marudbhir ugrā ahṛṇīyamānāḥ | evā triṇāmann ahṛṇīyamāna imaṃ janaṃ saṃmanasaṃ kṛṇu tvam ||
19.15.7	nir amun nuda okasaḥ sapatno yaḥ pṛtanyati | nirbādhyena haviṣā- -indra enaṃ parāśarīt ||
19.15.8	ihi tisraḥ parāvata ihi pañca janām̐ ati | ihi saptāti rocanā yāvat sūryo asad divi ||
19.15.9	paramāṃ tvā parāvatam indro devo ajīgamat | yathā na punar āyasi śaśvatībhyaḥ samābhyaḥ ||
19.15.10	pratīcīnaphalo hi tvam apāmārga babhūvitha | sarvān mac chapathām̐ adhi varīyo yāvayā tvam ||
19.15.11	yac ca bhrātṛvyaḥ śapati yac ca jāmiḥ śapāti naḥ | brahmā yan manyutaḥ śapāt sarvaṃ tan no adhaspadam ||
19.15.12	aghadviṣṭā devajūtā vīruc chapathayāvanī | udnā malam ivāvānaik sarvān mac chapathām̐ adhi ||
19.15.13	yad enaṃ pariṣīdanti samādadhati cakṣase | saṃpreddho agnir jihvābhir ud eti hṛdayād adhi ||
19.15.14	agneḥ sāntapanasyāham āyuṣe padam ā rabhe | addhātir yasya paśyati dhūmam udyantam āsyataḥ ||
19.15.15	yo asya samidhaṃ veda kṣatriyeṇa samāhitām | nābhihvāre padaṃ ni dadhāti sa mṛtyave ||
19.15.16	nainaṃ ghnanti paryāyiṇo na sannām̐ ava gacchati | agner yaḥ kṣatriyo vidvān nāma gṛhṇāty āyuṣe ||
19.16.1	asthād dyaur asthāt pṛthivy asthād viśvam idaṃ jagat | tiṣṭhanti parvatā ime sthāmann aśvā araṃsata ||
19.16.2	ya udānaḍ vyāyane ya udānaṭ parāyaṇe | āvartanaṃ nivartanaṃ yo gopā api taṃ huve ||
19.16.3	āvṛto nyāvṛto 'bhyavartanam āyanam | agneś catasra āvṛtas tābhiṣ ṭvā tarpayāmasi ||
19.16.4	jātavedo ni vartaya śataṃ te santv āvṛtaḥ sahasraṃ ta upāvṛtaḥ | tābhir enaṃ ni vartaya ||
19.16.5	adārasṛd bhavatu deva soma- -asmin yajñe maruto mṛḍatā naḥ | mā no vidad abhibhā mo aśastir mā naḥ prāpad ducchunā dveṣyā yā ||
19.16.6	yo adya daivyo vadho jighāṃsan na upāyati | yuvaṃ taṃ mitrāvaruṇav asmad yāvayataṃ pari ||
19.16.7	itaś cāmutaś cāghaṃ varuṇa yāvaya | vi mahac charma yaccha varīyo yāvayā vadham ||
19.16.8	apendra prāco maghavann amitrān apāpāco abhibhūte nudasva | apodīco apa śūrādharāca urau yathā tava śarman madema ||
19.16.9	tena bhūtasya haviṣā punar ā pyāyatām ayam | jāyāṃ yām asmā avidaṃ sā rasenābhi vardhatām ||
19.16.10	abhi vardhatāṃ prajayā- -abhi rāṣṭreṇa vardhatām | īṣā sahasravīryāv imau stām anupakṣitau ||
19.16.11	tvaṣṭā jāyām ajanayat tvaṣṭāsyai tvāṃ patiṃ dadhau | tvaṣṭā sahasram āyūṃṣi dīrgham āyuḥ kṛṇotu vām ||
19.16.12	antarikṣeṇa patati viśvā bhūtāvacākaśat | śuno divyasyaitan mahas tasmā etena haviṣā juhomi ||
19.16.13	apsu te janma divi te sadhasthaṃ samudra ātmā mahimā te pṛthivyām | śuno divyasyaitan mahas tasmā etena haviṣā juhomi ||
19.16.14	ye trayaḥ kālakāñjā divi devā iva śritāḥ | tān sarvān ahva ūtaye 'smā ariṣṭatātaye ||
19.16.15	yaḥ puruṣaṃ hūrcchayasi śvā divyo avīrahā | taṃ tvāhaṃ brahmaṇā nude puruṣaṃ mā parā vadhīḥ ||
19.16.16	yaḥ piśaṅgo ayodaṃṣṭraḥ śvā divyaḥ pariplavaḥ | tasyāhaṃ nāma jagrabha- -asmā ariṣṭatātaye ayaṃ no jīvatād iti ||
19.16.17	ayaṃ no nabhasas patiḥ saṃsphāno abhi rakṣatu | asamātiṃ gṛheṣu naḥ ||
19.16.18	tvaṃ no nabhasas patir ūrjaṃ gṛheṣu dhāraya | ā puṣṭam etv ā vasu ||
19.16.19	deva saṃsphāna sahasrāpoṣasyeśiṣe | tasya no dhehi tasya te bhakṣīmahi tasya te bhaktivāṃso bhūyāsma svāhā ||
19.17.1	yantāsi yacchase hastam apa rakṣāṃsi sedhasi | prajāṃ dhanaṃ ca gṛhṇānaḥ parihasto abhūd ayam ||
19.17.2	parihasta vi dhāraya yoniṃ garbhāya kartave | maryāde putram ā dhehi taṃ tvam ā gamayāgama ||
19.17.3	yaṃ parihastam abibhar aditiḥ putrakāmyā | tvaṣṭā tam asyā ā badhnād yathā putraṃ suvād iti ||
19.17.4	āgacchata āgatasya nāma gṛhṇāmy āyataḥ | indrasya vṛtraghno rājño vāsavasya śatakratoḥ ||
19.17.5	yena sūryāṃ sāvitrīm aśvinohatuḥ pathā | tena sam abravīd bhago jāyām ā vahatād iti ||
19.17.6	yas te aṅkuśo vasudāno bṛhann indra hiraṇyayaḥ | tenā janīyate jāyāṃ tvaṃ dhehi śatakrato ||
19.17.7	tvaṃ no medhe prathamā gobhir aśvebhir ā gahi | tvaṃ sūryasya raśmiṣu tvaṃ no asi yajñiyā ||
19.17.8	medhām ahaṃ prathamāṃ brahmaṇvatīm ṛṣiṣṭutām | prapītāṃ brahmacāribhir | devānām avasā vṛṇe ||
19.17.9	medhāṃ sāyaṃ medhāṃ prātar medhāṃ madhyandinaṃ pari | medhāṃ sūryeṇodyatā- -udīrāṇā u tuṣṭuma ||
19.17.10	pārthivasya rase devā bhagasya tanvo bale | āyur asmai somo varca ā dhād bṛhaspatiḥ ||
19.17.11	āyur asmai dhehi jātavedaḥ prajāṃ tvaṣṭar adhinidhehy ojaḥ | rāyaspoṣaṃ savitar ā suvāsmai śataṃ jīvāti śaradas tavāyam ||
19.17.12	āśīr ṇa ūrjam uta suprajāstvaṃ dakṣaṃ dadhātu draviṇaṃ suvarcasam | saṃjayan kṣetrāṇi sahasāham indra kṛṇvāno anyān adharān sapatnān ||
19.17.13	āyam agan savitā kṣureṇa- -uṣṇena vāya udakenehi | ādityā rudrā vasavaḥ sacetasaḥ somasya rājño 'vapan pracetasaḥ ||
19.17.14	yenāvapat savitā kṣureṇa somasya rājño varuṇasya vidvān | tena brahmāṇo vapatedam asya- -asrāmo dīrghāyur ayam astu vīraḥ ||
19.17.15	aditiḥ śmaśru vapatv āpa undantu varcasā | dhārayatu prajāpatiḥ punaḥpunaḥ suvaptave ||
19.18.1	yās te hirā dhamanayo 'ṅgāny anu viṣṭhitāḥ | tāsāṃ te sarvāsāṃ sākaṃ nir viṣāṇi hvayāmasi ||
19.18.2	yāṃ te rudra iṣum āsthad aṅgebhyo hṛdayāya ca | imāṃ tām adya te vayaṃ viṣūcīṃ vi vṛhāmasi ||
19.18.3	namas te rudrāsyate namaḥ pratihitābhyaḥ | namo visṛjyamānābhyo namas ta āyatābhyaḥ ||
19.18.4	avācīḥ pari mūrdhno yās te dhamanayaḥ śatam | tās te pra bhidyantāṃ pṛthag anu tyaṃ lohitāvaṭam ||
19.18.5	syandantāṃ rodanāvatīr anu tyaṃ lohitāvaṭam | yathāsyām antar na raṃsantām anukūlam ivodakam ||
19.18.6	pratīcīnaḥ sūrya etu pratīcīḥ sravataḥ kṛtāḥ | avācīs te asnaḥ kulyā iyaṃ tṛṇattv oṣadhīḥ ||
19.18.7	imaṃ yavam aṣṭāyogaiḥ ṣaḍyogebhir acarkṛṣuḥ | sa ghā te tanvo rapaḥ pratīcīnam apa vyayat ||
19.18.8	nyag vāto vāti nyak tapati sūryaḥ | nīcīnam aghnyā duhe nyag bhavatu te rapaḥ ||
19.18.9	āpa id vā u bheṣajīr āpo amīvacātanīḥ | āpaḥ samudrārthā yatīḥ parā vahantu te rapaḥ ||
19.18.10	amī ye yudham āyanti ketūn kṛtvānīkaśaḥ | indras tān pary ahār dāmnā tān agne sandyā tvam ||
19.18.11	yāvatīḥ sica āyanty anīkāni yati ṣṭan | indras tān pary ahār dāmnā tān agne sandyā tvam ||
19.18.12	saṃ paramān sam avamān atho sandyāni madhyamān | indras tān pary ahār dāmnā tān agne sandyā tvam ||
19.18.13	sandānaṃ vo bṛhaspatiḥ sandānaṃ savitā karat | sandānam indraś cāgniś ca sandānaṃ bhago aśvinā ||
19.18.14	yās te ruco deva sūrya- -udyato divy ātatāḥ | tābhir mām adya sarvābhir manuṣyebhyo ruce kṛṇu ||
19.18.15	ruce mā dhehi brahmasu ruce rājasu dhehi mā | ruce viśyeṣu śūdreṣu mayi dhehi ruce rucim ||
19.18.16	yā ruco hiraṇye yā agnau yāś ca sūrye | indrāgnī mayi tā ruco ruco dhehi bṛhaspate ||
19.19.1	ava mā pāpman sṛja vaśī san mṛḍayāsi naḥ | ā mā bhadreṣu dhāmasu tvaṃ dhehy avihrutam ||
19.19.2	yo mā pāpman na jahāsi tam u tvā jahimo vayam | anyatrāsman ny ucya sahasrākṣāmartya ||
19.19.3	pathor vayaṃ vyāvartane niṣpāpmānaṃ suvāmasi | yo no dveṣṭi taṃ gaccha yaṃ dviṣmas taṃ jahi ||
19.19.4	śava ivāsi saṃnaddho na bhogam avidaṃ tvayi | śiro bhinadmi te pāpman yathā na punar āyasi ||
19.19.5	indro asmān divā pātu mṛtyoḥ pāśāt svastaye | dyaur no madhyataḥ pātu bhūmī rājñī svastaye ||
19.19.6	sūryo asmān divā pātu mṛtyoḥ pāśāt svastaye | vāto no madhyataḥ pātv ahorātrī svastaye ||
19.19.7	somo asmān divā pātu mṛtyoḥ pāśāt svastaye | āpo no madhyataḥ pāntu mā no nirṛtir īśata ||
19.19.8	saṃ vāṃ cakṣuḥ saṃ hṛdayaṃ manasāvīvanaṃ manaḥ | asyāḥ sarūpavatsāyā ghṛte homena sarpiṣā ||
19.19.9	yat kakṣīvān saṃvananaṃ putro aṅgirasām avet | tena vām adya devāḥ saṃ priyā sam avīvanan ||
19.19.10	saṃvananaṃ vāṃ manaso atho saṃvananaṃ hṛdaḥ | atho bhagasya yac chrāntaṃ tena saṃ vānayāmi vām ||
19.19.11	ahaṃ te manasā manaś cakṣur gṛhṇāmi cakṣuṣā | evā pari ṣvajasva mā yathāsan mayi te manaḥ ||
19.19.12	ā rathasyeva cakre abhi mā vartatām asau | reṣmacchinnaṃ yathā tṛṇaṃ veṣṭāsau manasā mayi ||
19.19.13	pari tvā yātur asaraṃ pari mātuḥ pari svasuḥ | pari tvānyābhya strībhyo 'nayauṣadhyāsaram ||
19.19.14	ya indrasya sabhādhāno yasmin samitim āsate | hiraṇyaṃ yasya parṇāni tasmā aśvattha te namaḥ ||
19.19.15	yaḥ śākhābhir antarikṣam ā pūrayati niṣṭhayā | chandāṃsi yasya parṇāni tasmā aśvattha te namaḥ ||
19.19.16	yaṃ mṛgo na samāpnoti pakṣābhyāṃ śakuniṣ patan | divaṃ yaḥ sarvāṃ stabhnāti tasmā aśvattha te namaḥ ||
19.20.1	jyeṣṭhaghnyāṃ jāto vicṛtor yamasya māyaṃ hiṃsīḥ pitarau vardhamānaḥ | syonau vyāghrā uta te śivau stām ati neṣaṃ duritāni viśvā ||
19.20.2	vyāghre ahny ajaniṣṭa vīro nakṣatrajāḥ sarvavīraḥ suvīraḥ | sa mā hiṃsīḥ pitarau vardhamānas tasya te devāḥ prati gṛhṇantu homam ||
19.20.3	yā rohiṇīr devapatyā pra dhenur iva pinvate | tatra tisro vyaṣṭakāḥ sarvām̐ adhi bruvantu prajāyai jagate ca vām ||
19.20.4	yad ārdrābhyām araṇibhyāṃ devāḥ śakrā amanthaṃ puruṣeṇa puruṣam | atrāpuṣyataṃ mithunā sayonī jīvāṃ prajāṃ jaradaṣṭiṃ sutejasā ||
19.20.5	hataṃ pataṅgam uta tardam ākhum aśvinā bhintaṃ śiro mṛṇataṃ hanū dataḥ | yathā naḥ sasyaṃ na ghasaṃ vyadvarā evābhayaṃ kṛṇutaṃ dhānyāya naḥ ||
19.20.6	tarda hai pataṅga hai jabhya hā upakvasa | anadanta idaṃ dhānyam ahiṃsanto apodita ||
19.20.7	tardapate vaghāpate tṛṣṭadaṃśmā śṛṇota naḥ | hotrevāprāśitaṃ havir vṛkṇajihvā upādhvam ||
19.20.8	tarda jabhyāpijihvayā ya imaṃ divyaṃ pīyūṣaṃ prathamas titṛpsāt | taṃ pratyañcam arciṣā vidhya marman ||
19.20.9	ye abhrajā ye vātajā ye divas pari jajñire | marīcyāḥ putrāṇāṃ vayam api nahyāma āsyam ||
19.20.10	ye arjunā ye haritā ye kṛṣṇā ye ca rohitāḥ | kabandhasya praśāsane śalabhyāñ jambhayāmasi ||
19.20.11	antarikṣeṇa patata mā sasyam abhi paddhvam | girīṇāṃ sānuṣu sīdata tṛṇaṃ kapālam attana śalabhās tad viśām iva ||
19.20.12	yathāśvāso yathā dhuraṃ yuktā vahanti sādhuyā | evā mūtra pra bhidyasva vi vaster āsyaṃ sṛja ||
19.20.13	viṣitaṃ te vastibilaṃ samudrasyodadher iva | pra te bhinadmi mehanaṃ vartraṃ veśantyā iva ||
19.20.14	yāḥ samudrād uccaranti jaratīr upajihvikāḥ | pramehaṇasya tā vidur ubhayor mehanasya ca ||
19.20.15	śīrṣṇo valīr āsno valīr aṅgādaṅgān mukhād valīḥ | sarvās tā indrāṇī valīr apa mārṣṭv adhi tvacaḥ ||
19.20.16	yās tvaci valayo jātā yā jātās tanvas pari | sarvās tā indrāṇī valīḥ śamīśākhāsv ā sajāt ||
19.20.17	ā śamīṃ māmakī valī rurohāti jahāti mām | etām indrasya jāyā validhānīm akṛṇvata ||
19.21.1	yathā sūryo nakṣatrāṇāṃ varcāṃsi yuvate divaḥ | evā sapatnānām ahaṃ varca indriyam ā dade ||
19.21.2	yac ca varcaḥ sapatnānāṃ bhrātṛvyeṣu ca yad yaśaḥ | tad indro vṛtrahā dhātā savitā dīdharan mayi ||
19.21.3	yāś ca gāvaḥ sapatnānāṃ bhrātṛvyeṣu ca yad vasu | tan nir jyeyam iva jītvā savitā dīdharan mayi ||
19.21.4	satyam eva jayatu nānṛtaṃ satyasya panthā ṛjur astu sādhuḥ | satyaṃ vadantaḥ samidhe vidhema satyena dyāvāpṛthivī aprathetām ||
19.21.5	vāgbhāgasya ca satyena rudrasya sumanasyayā | indreṇādhibruvatā vayaṃ viśaṃ prāśi videmahi ||
19.21.6	yā te rudreṣur āyatā vāci vā te araṃkṛtā | yenedaṃ vivadāmahe tasya prāśaṃ tvaṃ jahi ||
19.21.7	jahi tvaṃ tasya prāśam uta satyām utānṛtām | yo asmān indra vṛtrahan vācā prāśaṃ jigīṣati ||
19.21.8	ut pramut prāṇa bahvīha sīdedaṃ pṛṇa | utodiva sma siñcatāt samudrasyeva madhyataḥ ||
19.21.9	samudraś ca śatadhāraḥ sahasradhāro akṣitaḥ | purastād indra ācarat pūrṇagoṣṭha idaṃ pṛṇa ||
19.21.10	ihopa pṛṇa saṃ pṛṇa vṛṣa prajananāḥ kṛdhi | iha gāvaḥ pra jāyadhvam ihāśvā iha pūruṣāḥ | iho sahasradakṣiṇo abhi prāśā ni ṣīdatu ||
19.21.11	jyeṣṭhaghnyai nakṣatrāṇām ahne rātryā idaṃ namaḥ | juhomi viśvakarmaṇe sa śivo mṛḍayāti naḥ ||
19.21.12	mā jyeṣṭhaṃ vadhīd ayam agna eṣāṃ mūlabarhaṇaṃ pari vṛṇakty enam | grāhyāḥ pāśān vi cṛta prajānan pitāputrau mātaraṃ muñca sarvān ||
19.21.13	un muñca pāśāṃs tvam agna eṣāṃ trayas tribhir utthitā yebhir āsan | māyaṃ hiṃsīḥ pitaraṃ vardhamāno mā mātaraṃ pra minīr yā janitrī ||
19.21.14	grāhyāḥ pāśān vi cṛta ye sinanti yāṃ brahmaṇā parivṛñjanti vedhasaḥ | un muñca pāśāṃs tvam agna eṣāṃ tvajjātasyānv ahar-ahar astu bhadram ||
19.21.15	ni vartadhvaṃ mānu gāta- -asmān siṣakta revatīḥ | agnīṣomā punarvasū asya vardhayataṃ rayim ||
19.21.16	punar enā ni vartaya punar enā upā kuru | indra enā ni yacchatv agnir enā upājatu ||
19.21.17	pari vo viśvato dadha ūrjā ghṛtena payasā | ye devāḥ ke ca yajñiyās te rayyā saṃ sṛjantu mā ||
19.22.1	namo astu sarpebhyo ye ke ca pṛthivīm anu | ye antarikṣe ye divi tebhyaḥ sarpebhyo namaḥ ||
19.22.2	ye cāmī rocane divo ye ca sūryasya raśmiṣu | yeṣām apsu sadas kṛtaṃ tebhyaḥ sarpebhyo namaḥ ||
19.22.3	yā iṣavo yātudhānānāṃ yā vā vanaspatīnām | ye 'vaṭeṣu śerate tebhyaḥ sarpebhyo namaḥ ||
19.22.4	yavocchiṣṭaṃ haviṣā vardhayemaṃ yathā dyumnī kṛṇavad vīryāṇī | sajūr devebhir abhi bhūḥ sapatnān āyuṣmat kṣatram ajaraṃ te astu ||
19.22.5	puṃsā yavena haviṣā payasvatā- -ucchiṣṭasyāyū rakṣantu devāḥ | devā hy asmin ni dadhur nṛmṇaṃ bṛhad asmā indro vayo dadhātu ||
19.22.6	sam ucchiṣṭasya haviṣā sam ukthaiḥ sam āyuṣā varcasā payo dadhātu | devā hy asmin ni dadhur nṛmṇaṃ bṛhad asmā indro vayo dadhātu ||
19.22.7	vāyur enāḥ samākarat tvaṣṭā poṣāya dhriyatām | indra ābhyo adhi bruvad rudro bhūmne cikitsatu ||
19.22.8	yathā cakrur devāsurā yathā manuṣyā uta | evā sahasrapoṣāya kṛṇutaṃ lakṣmāśvinā ||
19.22.9	lohitena svadhitinā mithunaṃ karṇayoḥ kṛdhi | akartām aśvinā lakṣma tad astu prajayā bahu ||
19.22.10	kṛṣṇaṃ niyānaṃ harayaḥ suparṇā apo vasānā divam ut patanti | ā ca vartante sadanād ṛtasya- -ād id ghṛtena pṛthivī vy udyate ||
19.22.11	payasvatīḥ kṛṇutāpa oṣadhīr imā yad ejathā maruto rukmavakṣasaḥ | ūrjaṃ ca tatra sumatiṃ ca pinvatha yatrā naro marutaḥ siñcathā madhu ||
19.22.12	udapluto marutas tām̐ iyarta vṛṣṭyā yad viśvā nivatas pṛṇātha | ejāti galhā kanyeva tunnairun tundānā patyeva jāyā ||
19.22.13	tvaṣṭeva pūṣeryo damūnā mahī svastir vṛṣaṇā na āgan | viśvā āśāḥ sūyavasā saṃrarāṇo 'syā rayyāḥ puraetā na edhi ||
19.22.14	eha yantu madhumad duhānā anamīvā uśatīr viśvarūpāḥ | bahvīr bhavantīr upajāyamānā ihendro vo ramayatu gāvaḥ ||
19.22.15	prajāpatir janayatu prajā imās tvaṣṭā dadhātu sumanasyamānaḥ | saṃvatsara ṛtubhiḥ saṃvidāno mayi puṣṭaṃ puṣṭapatir dadhātu ||
19.23.1	sāhasī nāma vā asi sahasas pari jajñiṣe | sahasvān indro deveṣu sahase tvā khanāmasi ||
19.23.2	sahasyena bheṣajena divyena śataparvaṇā | tena sahasrakāṇḍena kṛṇomi punarābhṛtim ||
19.23.3	sahaso 'haṃ bheṣajasya divyasya nāma jagrabha | vy āśiṣaiva tasthire yakṣmāsaḥ puruṣād adhi ||
19.23.4	apeta etu nirṛtir nehāsyā api kiṃ cana | apāsyāḥ satvanaḥ pāśān mṛtyūn ekaśataṃ nude ||
19.23.5	ye te pāśā ekaśataṃ mṛtyo martyāya hantave | tāṃs te yajñasya māyayā sarvām̐ apa yajāmasi ||
19.23.6	nir ito yantu nairṛtā mṛtyava ekaśataṃ paraḥ | sedhāma eṣāṃ yat tamaḥ prāṇaṃ jyotiś ca dadhmahe ||
19.23.7	triṣaptā vāraṇā imās tābhir mām indro abravīt | viṣaṃ vārayatām iti viṣaṃ dūṣayatād iti ||
19.23.8	apa brūtedaṃ maruto mahīndrasyāpavācanī | eṣā sahasram arhaty eṣā vārayate viṣam ||
19.23.9	asthād dyaur asthāt pṛthivy asthād viśvam idaṃ jagat | asthur viṣasyābhītayaḥ pratikūla ivābalaḥ ||
19.23.10	yathā bāṇaḥ susaṃśitaḥ parāpataty āśumat | evā kāśe parā pata sākaṃ vātasya dhrājyā ||
19.23.11	yathā cakṣuś cakṣuṣmataḥ parāpatati ketumat | (…) sākaṃ sūryasya raśmibhiḥ ||
19.23.12	yathā mano manyuketuṃ parāpatati yojanā | evā kāśe parā patat samudrasyānu vikṣaram ||
19.23.13	ita evāva gacchata- -ugrā bhavata mābalāḥ | hvayantu sarve vo devāḥ sarvā vo vṛṇatāṃ viśaḥ ||
19.23.14	yad avagamena haviṣā- -ava vo gamayāmasi | atrāta indraḥ kevalīr viśo balihṛtaḥ karat ||
19.23.15	indraḥ kaśyapa ād agnir iḍā turīyā vaḥ sakhā | yad bhūtaṃ bhavyam āsanvat tenāva gamayāmi vaḥ ||
19.24.1	na taṃ yakṣmā arundhate nainaṃ śapatho aśnute | yaṃ bheṣajasya gulguloḥ surabhir gandho aśnute ||
19.24.2	yaṃ gulgulor bheṣajasya surabhir gandho aśnute | viṣvañcas tasmād yakṣmā mṛgā iṣvā iverate ||
19.24.3	yad gulgulu saindhavaṃ yad vā ghāsi samudriyam | ubhayor agrabhaṃ nāma- -asmā ariṣṭatātaye ||
19.24.4	devā etaṃ madhunā saṃyutaṃ yavaṃ sarasvatyām adhi maṇāv acarkṛṣuḥ | indra āsīt sīrapatiḥ śatakratuḥ kīnāśā āsan marutaḥ sudānavaḥ ||
19.24.5	bṛhatpalāśe subhaga ūrdhvasvapna ṛtāvari | māteva putrebhyo mṛḍa keśebhyo naḥ śami ||
19.24.6	yas te mado +'vakeśo yo vikeśo yenābhihasyaṃ puruṣaṃ kṛṇoṣi | bhrūṇaghnovirivārā(c) cara tvaṃ tasya te prajāyāḥ suvāmi keśān ||
19.24.7	ākūtiṃ devīṃ subhagāṃ puro dadhe cittasya mātā suhavā no astu | yām āśām emi kevalī sā me astu videyam enāṃ manasi praviṣṭām ||
19.24.8	ākūtyā no bṛhaspata ākūtyā na upā gahi | atho bhagasya no dhehy atho naḥ suhavo bhava ||
19.24.9	bṛhaspatir ma ākūtim āṅgirasaḥ prati jānātu vācam etām | yasya devā devatāḥ sambabhūvuḥ suṣupraṇīḥ kāmo anv etv asmān ||
19.24.10	mano nv āhvāmahi nārāśaṃsena stomena | pitṝṇāṃ ca manmabhiḥ ||
19.24.11	ā na etu manaḥ punaḥ kratve dakṣāya jīvase | jyok ca sūryāya dṛśe ||
19.24.12	punar naḥ pitaro mano dadātu daivyo janaḥ | jīvaṃ vrātaṃ sacemahi ||
19.24.13	vayaṃ soma vrate tava manas tanūṣu bibhrataḥ | prajāvantaḥ sacemahi ||
19.24.14	varco me mitrāvaruṇā varco devī sarasvatī | varco me aśvinobhā dhattaṃ puṣkarasrajā ||
19.24.15	yac ca varco yajamāne yac ca yajñe 'dhy āhitam | surāyāṃ babhru yad varcas tasya bhakṣīya varcasaḥ ||
19.24.16	yā utsebhyaḥ prasravanti divo dhārā nadībhyaḥ | tāsāṃ tvā sarvāsām apām abhi ṣiñcāmi varcasā ||
19.24.17	yad rājānaṃ śakadhūmaṃ nakṣatrāṇy akṛṇvata | bhadrāham asmai prāyacchan tato rāṣṭram ajāyata ||
19.24.18	bhadrāham astu naḥ sāyaṃ bhadrāhaṃ prātar astu naḥ | bhadrāham asmabhyaṃ tvaṃ śakadhūma sadā kṛṇu ||
19.24.19	yo no bhadrāham akaraḥ sāyaṃ prātar atho divā | tasmai te nakṣatrarāja śakadhūma sadā namaḥ ||
19.24.20	yad āhuḥ śakadhūmāhaṃ nakṣatrāṇāṃ prathamajaṃ jyotir agre | tan naḥ saniṃ madhumatīṃ kṛṇotu rayiṃ ca naḥ sarvavīraṃ ni yacchāt ||
19.25.1	yūpe garte vidveṣaṇaṃ devānāṃ varcasā kṛtam | agnir vām astv antarā yathā vāṃ na sahāsati ||
